IATA_CODE,AIRPORT,CITY,STATE
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
LAX,Los Angeles International Airport,Los Angeles,CA
ORD,Chicago O'Hare International Airport,Chicago,IL
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX
JFK,John F. Kennedy International Airport,New York,NY
DEN,Denver International Airport,Denver,CO
SFO,San Francisco International Airport,San Francisco,CA
SEA,Seattle-Tacoma International Airport,Seattle,WA
LAS,McCarran International Airport,Las Vegas,NV
MCO,Orlando International Airport,Orlando,FL
CLT,Charlotte Douglas International Airport,Charlotte,NC
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ
MIA,Miami International Airport,Miami,FL
IAH,George Bush Intercontinental Airport,Houston,TX
BOS,Logan International Airport,Boston,MA
