YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,SCHEDULED_TIME,DISTANCE,ARRIVAL_DELAY,DIVERTED,CANCELLED,AIRLINE_NAME,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,DEST_AIRPORT_NAME,DEST_CITY,DEST_STATE,FLIGHT_DATE,SCHED_DEP_HOUR,IS_DELAYED,IS_WEEKEND,SEASON,ROUTE
2015,9,9,3,AA,6874,PHX,DFW,32,25.0,187.0,1102.0,24.1,0,0,American Airlines Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,2015-09-09,0,1,0,Otono,PHX-DFW
2015,12,26,6,HA,2342,DFW,JFK,214,18.9,370.0,2599.0,31.9,0,0,Hawaiian Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,John F. Kennedy International Airport,New York,NY,2015-12-26,2,1,1,Invierno,DFW-JFK
2015,12,13,7,UA,956,DEN,SEA,2000,27.4,330.0,2141.0,25.5,0,0,United Air Lines Inc.,Denver International Airport,Denver,CO,Seattle-Tacoma International Airport,Seattle,WA,2015-12-13,20,1,1,Invierno,DEN-SEA
2015,3,1,7,UA,4821,LAX,CLT,1042,-7.0,380.0,2406.0,-7.9,0,0,United Air Lines Inc.,Los Angeles International Airport,Los Angeles,CA,Charlotte Douglas International Airport,Charlotte,NC,2015-03-01,10,0,1,Primavera,LAX-CLT
2015,1,9,5,WN,2843,DEN,IAH,1714,2.9,65.0,359.0,-2.4,0,0,Southwest Airlines Co.,Denver International Airport,Denver,CO,George Bush Intercontinental Airport,Houston,TX,2015-01-09,17,0,0,Invierno,DEN-IAH
2015,5,30,6,UA,1966,IAH,BOS,2306,20.4,317.0,2054.0,32.8,0,0,United Air Lines Inc.,George Bush Intercontinental Airport,Houston,TX,Logan International Airport,Boston,MA,2015-05-30,23,1,1,Primavera,IAH-BOS
2015,5,15,5,DL,4784,JFK,DFW,356,-11.7,206.0,1270.0,-7.7,0,0,Delta Air Lines Inc.,John F. Kennedy International Airport,New York,NY,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,2015-05-15,3,0,0,Primavera,JFK-DFW
2015,5,29,5,F9,2174,DFW,IAH,1540,20.8,406.0,2661.0,16.6,0,0,Frontier Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,George Bush Intercontinental Airport,Houston,TX,2015-05-29,15,1,0,Primavera,DFW-IAH
2015,6,12,5,UA,4772,DEN,DFW,836,-0.4,179.0,1045.0,-1.9,0,0,United Air Lines Inc.,Denver International Airport,Denver,CO,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,2015-06-12,8,0,0,Verano,DEN-DFW
2015,3,23,1,NK,2154,PHX,CLT,1852,21.2,148.0,1086.0,27.2,0,0,Spirit Air Lines,Phoenix Sky Harbor International Airport,Phoenix,AZ,Charlotte Douglas International Airport,Charlotte,NC,2015-03-23,18,1,0,Primavera,PHX-CLT
