feature,importance
num__AIRLINE_DELAY_RATE,0.3091505
num__SCHED_DEP_HOUR,0.19891675
cat__SEASON_Verano,0.1710888
cat__AIRLINE_WN,0.09245813
cat__AIRLINE_AA,0.049685862
num__MONTH,0.039865673
cat__AIRLINE_DL,0.014305095
cat__AIRLINE_AS,0.012065462
cat__AIRLINE_HA,0.010235615
cat__AIRLINE_NK,0.009220678
cat__AIRLINE_B6,0.008728571
cat__AIRLINE_UA,0.008714724
cat__SEASON_Primavera,0.008161652
cat__AIRLINE_F9,0.007808961
cat__SEASON_Invierno,0.007717884
cat__AIRLINE_OO,0.0077139097
num__ROUTE_FREQUENCY,0.0075576743
num__DAY_OF_WEEK,0.0075207427
num__DEST_DELAY_RATE,0.007504135
num__DISTANCE,0.007406537
num__ORIGIN_DELAY_RATE,0.0072401324
cat__SEASON_Otono,0.006932527
num__IS_WEEKEND,0.0
