MONTH,DAY_OF_WEEK,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,DISTANCE,IS_DELAYED,SCHED_DEP_HOUR,IS_WEEKEND,SEASON,ROUTE
3,1,UA,SFO,LAX,1527,-2.5,2121,0,15,0,Primavera,SFO-LAX
11,3,F9,SFO,BOS,1744,15.9,627,1,17,0,Otono,SFO-BOS
12,3,DL,PHX,MIA,11,18.5,1470,1,0,0,Invierno,PHX-MIA
9,2,UA,LAS,MCO,223,-19.9,434,0,2,0,Otono,LAS-MCO
9,6,WN,LAX,DEN,706,-7.7,2053,0,7,1,Otono,LAX-DEN
8,4,UA,LAS,ORD,1959,20.5,727,1,19,0,Verano,LAS-ORD
3,7,NK,CLT,LAX,700,12.1,1619,0,7,1,Primavera,CLT-LAX
1,2,HA,BOS,DEN,1534,6.0,487,0,15,0,Invierno,BOS-DEN
5,6,UA,MCO,DFW,134,11.8,604,0,1,1,Primavera,MCO-DFW
10,4,HA,LAX,SFO,1004,-8.2,967,0,10,0,Otono,LAX-SFO
11,7,AS,ATL,JFK,403,5.4,698,0,4,1,Otono,ATL-JFK
9,1,UA,MCO,ORD,700,-0.2,439,0,7,0,Otono,MCO-ORD
4,2,HA,MCO,BOS,335,-3.8,269,0,3,0,Primavera,MCO-BOS
7,3,UA,DEN,ORD,1019,-10.4,2570,0,10,0,Verano,DEN-ORD
5,7,OO,MIA,LAX,1050,15.5,753,1,10,1,Primavera,MIA-LAX
9,3,AA,DFW,MIA,629,20.0,2090,1,6,0,Otono,DFW-MIA
7,7,NK,MCO,ATL,1431,-1.2,1405,0,14,1,Verano,MCO-ATL
11,5,AA,DFW,LAS,1006,33.6,2220,1,10,0,Otono,DFW-LAS
8,3,NK,IAH,LAX,1058,6.4,1259,0,10,0,Verano,IAH-LAX
2,5,UA,JFK,PHX,840,-12.8,682,0,8,0,Invierno,JFK-PHX
2,4,UA,BOS,DFW,1539,11.7,905,0,15,0,Invierno,BOS-DFW
11,5,DL,ORD,LAS,634,-3.0,507,0,6,0,Otono,ORD-LAS
4,3,UA,JFK,SEA,1233,18.3,994,1,12,0,Primavera,JFK-SEA
5,5,UA,ATL,JFK,756,-4.7,968,0,7,0,Primavera,ATL-JFK
7,7,OO,ATL,CLT,1712,21.5,184,1,17,1,Verano,ATL-CLT
5,4,WN,MIA,DFW,517,-21.9,1003,0,5,0,Primavera,MIA-DFW
8,7,UA,MCO,PHX,121,-6.0,1145,0,1,1,Verano,MCO-PHX
5,6,NK,BOS,DFW,2234,33.2,815,1,22,1,Primavera,BOS-DFW
3,3,HA,ATL,SFO,2313,12.4,1701,0,23,0,Primavera,ATL-SFO
2,7,NK,JFK,LAX,520,6.9,510,0,5,1,Invierno,JFK-LAX
12,7,UA,BOS,SFO,1257,26.0,830,1,12,1,Invierno,BOS-SFO
4,1,AS,ATL,SFO,59,6.0,515,0,0,0,Primavera,ATL-SFO
11,4,HA,PHX,MIA,2343,12.7,1917,0,23,0,Otono,PHX-MIA
12,3,B6,LAX,ORD,639,10.2,1140,0,6,0,Invierno,LAX-ORD
2,4,HA,MCO,SEA,125,7.7,782,0,1,0,Invierno,MCO-SEA
11,6,AS,JFK,ORD,1440,11.1,541,0,14,1,Otono,JFK-ORD
7,5,AA,DEN,SFO,604,11.0,992,0,6,0,Verano,DEN-SFO
1,5,UA,MCO,LAX,1321,-7.0,1411,0,13,0,Invierno,MCO-LAX
9,7,AS,SFO,CLT,904,2.1,2650,0,9,1,Otono,SFO-CLT
11,3,AS,ATL,IAH,1627,21.8,1565,1,16,0,Otono,ATL-IAH
10,7,AS,CLT,JFK,812,30.8,1258,1,8,1,Otono,CLT-JFK
4,5,AA,JFK,SFO,6,11.7,782,0,0,0,Primavera,JFK-SFO
4,3,OO,BOS,MCO,1018,8.3,2486,0,10,0,Primavera,BOS-MCO
8,5,AA,SEA,JFK,1628,19.9,207,1,16,0,Verano,SEA-JFK
7,7,B6,CLT,ATL,202,9.3,1865,0,2,1,Verano,CLT-ATL
4,6,AS,DEN,LAS,757,-4.0,2404,0,7,1,Primavera,DEN-LAS
8,4,B6,LAS,JFK,248,-17.7,1460,0,2,0,Verano,LAS-JFK
5,1,AS,JFK,SEA,1501,10.5,2288,0,15,0,Primavera,JFK-SEA
11,7,UA,IAH,MIA,1702,1.8,1367,0,17,1,Otono,IAH-MIA
5,7,DL,DFW,LAX,346,-13.6,1922,0,3,1,Primavera,DFW-LAX
5,1,F9,MCO,LAX,228,3.0,1670,0,2,0,Primavera,MCO-LAX
10,6,HA,BOS,LAX,2208,19.9,727,1,22,1,Otono,BOS-LAX
7,5,UA,PHX,DEN,445,-3.0,2362,0,4,0,Verano,PHX-DEN
11,5,UA,JFK,MIA,1732,-4.8,1683,0,17,0,Otono,JFK-MIA
9,4,AS,ATL,IAH,1944,14.1,2573,0,19,0,Otono,ATL-IAH
5,3,AS,BOS,ORD,1842,-7.2,687,0,18,0,Primavera,BOS-ORD
1,1,UA,DFW,ATL,2208,20.0,929,1,22,0,Invierno,DFW-ATL
10,6,UA,IAH,LAX,500,-11.9,629,0,5,1,Otono,IAH-LAX
5,4,DL,LAX,ATL,1542,-4.3,1663,0,15,0,Primavera,LAX-ATL
11,4,B6,ATL,SEA,1304,5.1,2384,0,13,0,Otono,ATL-SEA
3,3,DL,ATL,DFW,312,1.3,434,0,3,0,Primavera,ATL-DFW
6,3,AS,DEN,PHX,142,-0.2,2416,0,1,0,Verano,DEN-PHX
3,1,HA,PHX,ATL,815,-6.8,241,0,8,0,Primavera,PHX-ATL
3,2,NK,PHX,SFO,1746,22.4,1321,1,17,0,Primavera,PHX-SFO
5,5,AA,LAS,MIA,1405,46.9,813,1,14,0,Primavera,LAS-MIA
5,3,HA,LAX,LAS,1824,24.6,597,1,18,0,Primavera,LAX-LAS
7,6,HA,MIA,LAS,2026,34.9,1984,1,20,1,Verano,MIA-LAS
9,2,UA,MCO,LAS,1044,-7.2,1306,0,10,0,Otono,MCO-LAS
2,1,UA,PHX,ORD,2259,19.0,1841,1,22,0,Invierno,PHX-ORD
10,5,NK,SEA,DFW,351,0.4,1656,0,3,0,Otono,SEA-DFW
3,3,HA,SEA,ATL,2022,20.0,646,1,20,0,Primavera,SEA-ATL
7,1,UA,IAH,LAX,1012,6.9,2550,0,10,0,Verano,IAH-LAX
7,1,HA,CLT,MCO,1050,8.5,2241,0,10,0,Verano,CLT-MCO
10,3,AA,DFW,ORD,1942,42.9,2412,1,19,0,Otono,DFW-ORD
2,3,AA,LAS,ORD,1618,24.3,464,1,16,0,Invierno,LAS-ORD
